TITLE;TYPE;RATING;REVIEWS;ADDRESS;LATITUDE;LONGITUDE;POSTAL_CODE;PRICE;DESCRIPTION;TAGS;
Arrayán; ;9,2;1131;Calle Villalar, 6, 28001 Madrid;40.4212387;-3.689716;28001;55;Nada más entrar en este elegante establecimiento del barrio de Salamanca, percibimos de inmediato que estamos ante un restaurante de autor. Un local en el que sentimos el alma de sus creadores, su presencia y su sensibilidad, en el que podemos palpar hasta en el último detalle la personalidad de Leonor San José y del chef Javi Cabrera. El cocinero pone al servicio de su clientela – esos comensales que buscan una atmósfera de elegancia y confort– su depurada técnica y su talante eminentemente creativo, forjado en locales como La Alquería o La Sucursal. Y lo hace dando forma a una cocina mediterránea muy personal, en la que el producto brilla con luz propia en forma de dos menús degustación, uno largo y uno corto, que pueden pedirse también con maridaje.La propuesta de Arrayán cambia en función de lo que depara el mercado y de la inspiración del chef, siempre con una base mediterránea y una buena dosis de alta cocina. Y su grandeza radica precisamente en que podemos encontrar desde un foie a una merluza, algún plato de raíz asiática, un ajoblanco o una tarta de manzana. La carta de vinos, por su parte, es también profundamente inspiradora, como lo es el conjunto de un local cuyo interiorismo –con sus cómodos sofás, sus grandes cuadros, las alfombras, las cortinas rojas…– nos hace sentir de inmediato seguros y cómodos. Y con ganas de probar más.;Afterwork, Con amigos, Romántico, Selección Insider - Mediterráneos, Selección Insider - Recomendaciones locales, Día de la Madre, Día del Padre, Insider Week, Reabierto, Restaurant Week;
Al Son de Cuba;Cubano;9,5;928;Calle Ancora, 25, 28045 Madrid;40.4030016;-3.6905093;28045;20;;Con amigos, Grupos, Family Days, Reabierto, San Valentín, Latino;
Lamonarracha;Japonés;9,5;143;Calle de Alonso Cano, 53, 28003 Madrid;40.4400594;-3.6978462;28003;25;;Sushi, Reabierto, Asiático;
Bichopalo;Español;9,3;230;Calle Barceló, 6 puesto 103 (interior del mercado)(planta 0), 28004 Madrid;40.4269268;-3.6988689;28004;35;;Con amigos, Reabierto, Europeo;
Alma Matter;Terraza;9,3;337;Calle de San Bernardo, 97, 28015 Madrid;40.4305063;-3.7056951;28015;15;;Con amigos, Cumpleaños, Despedida de solter@, Reabierto;
Saffron Indian Cuisine;Indio;9,6;80;Calle Manuel Pombo Angulo, 10, 28050 Madrid;40.5062541;-3.6565017;28050;17;;Con amigos, Despedida de solter@, Familia, Grupos, Terraza, Nochebuena y Navidad, Novedades, Reabierto, SABOREA ASIA, Asiático;
Radhuni Indian;Indio;9,3;5629;Calle Príncipe Carlos, 21, 28050 Madrid;40.493341;-3.6562519;28050;17;;Comuniones, Con amigos, Cumpleaños, Despedida de solter@, Familia, Grupos, Día de la Madre, Día del Padre, Family Days, Fin de Año y Año Nuevo, Nochebuena y Navidad, Reabierto, SABOREA ASIA, Asiático;
Basmati;Indio;9,5;725;Calle de Sandoval, 18, 28010 Madrid;40.4303337;-3.7049417;28010;17;;Reabierto, Asiático;
Shampan Indian;Indio;9,4;3239;Calle Antonio Arias, 2, 28009 Madrid;40.4177183;-3.6716143;28009;22;;Family Days, Reabierto, SABOREA ASIA, TOGETHER, Asiático;
Yugo de Julián Mármol; ;9,4;114;Calle San Blas, 4, 28014 Madrid;40.4106027;-3.6945795;28014;125;La alta gastronomía japonesa se da cita en este exclusivo local del barrio de las Letras. Bajo la dirección del chef Julián Mármol se recrea el espíritu de las tradicionales Izakayas, un espacio único en el que saborear uno de sus dos menús degustación. Entre los ingredientes que forman su carta no faltan los pescados salvajes y los productos con denominación de origen. Todos ellos cuidadosamente seleccionados por el propio chef. El resultado son sashimis, nigiris y gyozas, entre otras delicatesen niponas, con sabores que hacen vibrar los cinco sentidos. Para acompañar, nada como dejarse llevar por alguna de las opciones de su cuidada selección de sakes, vinos y champagnes.;Con estrella MICHELIN, Con amigos, De moda, Romántico, Sushi, Tartar, Selección Insider - Japoneses, Selección Insider - Trendy, ELLE Gourmet, Insider Week, Nochebuena y Navidad, Reabierto, Restaurant Week, San Valentín, Asiático;
